merged
ADPL   HRADPLRA0006
ADRS   HRADRSRA0007
ADRS2   HRADRSPA0009
ARNT   HRARNTRA0004
ATGR   HRATGRRA0003
ATPL   HRATPLRA0008
CIAK   HRCIAKRA0007
CKML   HRCKMLRA0008
CROS   HRCROSRA0002
CROS2   HRCROSPA0004
DDJH   HRDDJHRA0007
DLKV   HRDLKVRA0006
ERNT   HRERNTRA0000
GRNL   HRGRNLRA0006
HPB   HRHPB0RA0002
HT   HRHT00RA0005
IGH   HRIGH0RA0006
IKBA   HRIKBARA0008
ILRA   HRILRARA0009
INA   HRINA0RA0007
INGR   HRINGRRA0001
JDGT   HRJDGTRA0000
JDPL   HRJDPLRA0007
JDRN   HRJDRNRB0002
KODT   HRKODTRA0007
KODT2   HRKODTPA0009
KOEI   HRKOEIRA0009
KRAS   HRKRASRA0008
LKPC   HRLKPCRA0005
LKRI   HRLKRIRA0007
LPLH   HRLPLHRA0009
LRHC   HRLRHCRA0008
M7PR   HRM7PRRA0001
MAIS   HRMAISRA0007
MDKA   HRMDKARA0000
MRUL   HRMRULRA0009
OPTE   HROPTERA0001
PLAG   HRPLAGRA0003
PODR   HRPODRRA0004
PTKM   HRPTKMRA0005
RIVP   HRRIVPRA0000
SAPN   HRSAPNRA0007
SLPF   HRSLPFRA0004
SLRS   HRSLRSRA0007
SPAN   HRSPANRA0007
STJD   HRSTJDRA0006
SUKC   HRSUKCRA0001
THNK   HRTHNKRA0004
TPNG   HRTPNGRA0000
TUHO   HRTUHORA0001
ULPL   HRULPLRA0002
VART   HRVARTR10005
VIRO   HRVIRORA0001
VIS   HRVIS0RA0002
VLEN   HRVLENRB0001
ZABA   HRZABARA0009
ZB   HRZB00RA0003
